Date,Total Count ,count_ag0_4,count5_17,count18_64,count65p
3/1/2006,203,91,24,76,12
3/2/2006,204,87,32,70,15
3/3/2006,182,85,24,57,16
3/4/2006,194,101,19,59,15
3/5/2006,221,112,21,70,18
3/6/2006,268,117,33,96,22
3/7/2006,230,112,26,70,22
3/8/2006,218,94,25,76,23
3/9/2006,212,104,22,69,17
3/10/2006,213,90,19,79,25
3/11/2006,270,148,35,67,20
3/12/2006,269,142,36,76,15
3/13/2006,277,134,27,98,18
3/14/2006,243,109,25,90,19
3/15/2006,232,97,33,81,21
3/16/2006,235,107,28,78,22
3/17/2006,188,83,17,72,16
3/18/2006,193,94,18,60,21
3/19/2006,226,109,24,78,15
3/20/2006,239,108,25,86,20
3/21/2006,244,103,34,94,13
3/22/2006,206,90,30,69,17
3/23/2006,226,102,27,84,13
3/24/2006,205,88,23,80,14
3/25/2006,240,134,24,62,20
3/26/2006,271,131,46,79,15
3/27/2006,275,122,34,99,20
3/28/2006,276,117,40,100,19
3/29/2006,258,112,36,89,21
3/30/2006,240,118,21,77,24
3/31/2006,223,100,31,80,12
4/1/2006,232,109,24,85,14
4/2/2006,243,135,22,68,18
4/3/2006,277,127,36,96,18
4/4/2006,241,105,37,84,15
4/5/2006,241,93,23,101,24
4/6/2006,223,99,32,72,20
4/7/2006,205,93,21,67,24
4/8/2006,220,101,24,71,24
4/9/2006,225,108,28,73,16
4/10/2006,236,91,39,83,23
4/11/2006,216,84,28,85,19
4/12/2006,226,96,14,101,15
4/13/2006,191,73,25,71,22
4/14/2006,186,95,22,56,13
4/15/2006,201,94,25,63,19
4/16/2006,210,86,36,71,17
4/17/2006,201,78,24,80,19
4/18/2006,196,77,28,71,20
4/19/2006,191,76,21,73,21
4/20/2006,183,71,9,84,18
4/21/2006,127,56,8,50,13
4/22/2006,184,78,19,76,11
4/23/2006,192,80,16,77,19
4/24/2006,199,81,26,75,17
4/25/2006,182,68,27,77,10
4/26/2006,177,61,23,78,15
4/27/2006,146,44,17,67,18
4/28/2006,131,54,17,47,13
4/29/2006,161,71,18,56,16
4/30/2006,154,64,18,55,17
5/1/2006,157,53,22,65,17
5/2/2006,162,64,24,59,15
5/3/2006,177,70,24,65,18
5/4/2006,177,67,24,70,16
5/5/2006,167,70,22,57,18
5/6/2006,149,62,20,48,19
5/7/2006,157,58,24,60,15
5/8/2006,173,55,30,76,12
5/9/2006,151,59,15,58,19
5/10/2006,169,51,28,71,19
5/11/2006,159,63,29,58,9
5/12/2006,138,55,15,49,19
5/13/2006,151,49,24,59,19
5/14/2006,129,47,14,53,15
5/15/2006,176,51,32,71,22
5/16/2006,137,50,21,55,11
5/17/2006,151,51,14,72,14
5/18/2006,128,36,21,56,15
5/19/2006,103,33,12,44,14
5/20/2006,112,44,11,52,5
5/21/2006,118,43,18,44,13
5/22/2006,177,43,28,87,19
5/23/2006,143,50,17,59,17
5/24/2006,145,44,24,58,19
5/25/2006,151,58,13,63,17
5/26/2006,131,42,13,66,10
5/27/2006,125,52,15,45,13
5/28/2006,124,44,11,57,12
5/29/2006,132,57,11,49,15
5/30/2006,140,46,20,56,18
5/31/2006,133,40,18,66,9
6/1/2006,118,36,11,59,12
6/2/2006,104,30,12,42,20
6/3/2006,102,29,9,55,9
6/4/2006,117,46,13,50,8
6/5/2006,111,30,10,55,16
6/6/2006,117,37,20,50,10
6/7/2006,124,30,9,68,17
6/8/2006,107,29,10,56,12
6/9/2006,116,26,14,52,24
6/10/2006,95,32,7,46,10
6/11/2006,95,38,6,47,4
6/12/2006,110,33,10,54,13
6/13/2006,107,34,7,54,12
6/14/2006,123,35,14,52,22
6/15/2006,103,35,11,45,12
6/16/2006,103,29,8,50,16
6/17/2006,96,31,3,49,13
6/18/2006,97,30,11,46,10
6/19/2006,133,40,19,64,10
6/20/2006,116,32,8,55,21
6/21/2006,108,28,14,57,9
6/22/2006,106,30,14,42,20
6/23/2006,100,30,8,48,14
6/24/2006,83,32,9,36,6
6/25/2006,93,28,6,45,14
6/26/2006,124,24,11,67,22
6/27/2006,107,32,6,53,16
6/28/2006,117,27,18,54,18
6/29/2006,113,28,16,50,19
6/30/2006,85,15,9,41,20
7/1/2006,88,33,10,34,11
7/2/2006,97,29,6,50,12
7/3/2006,105,33,10,49,13
7/4/2006,84,25,8,35,16
7/5/2006,102,23,14,50,15
7/6/2006,107,23,12,58,14
7/7/2006,102,40,6,42,14
7/8/2006,99,36,5,41,17
7/9/2006,81,28,5,38,10
7/10/2006,111,26,12,56,17
7/11/2006,101,30,8,50,13
7/12/2006,98,31,7,41,19
7/13/2006,110,32,9,57,12
7/14/2006,91,24,10,45,12
7/15/2006,99,34,10,39,16
7/16/2006,89,28,9,44,8
7/17/2006,118,29,5,63,21
7/18/2006,112,40,8,45,19
7/19/2006,121,43,3,57,18
7/20/2006,107,28,10,51,18
7/21/2006,110,39,11,44,16
7/22/2006,108,39,10,42,17
7/23/2006,108,39,8,53,8
7/24/2006,122,32,11,62,17
7/25/2006,105,28,9,55,13
7/26/2006,110,32,10,56,12
7/27/2006,119,34,13,57,15
7/28/2006,88,19,15,42,12
7/29/2006,88,38,4,36,10
7/30/2006,120,39,15,46,20
7/31/2006,125,33,15,57,20
8/1/2006,93,26,12,46,9
8/2/2006,110,16,14,56,24
8/3/2006,96,20,14,49,13
8/4/2006,122,29,15,60,18
8/5/2006,100,31,19,44,6
8/6/2006,105,23,12,51,19
8/7/2006,121,41,8,66,6
8/8/2006,106,27,19,48,12
8/9/2006,141,41,18,68,14
8/10/2006,122,34,12,62,14
8/11/2006,104,34,11,44,15
8/12/2006,110,37,9,49,15
8/13/2006,102,33,9,49,11
8/14/2006,110,25,14,59,12
8/15/2006,116,37,15,52,12
8/16/2006,109,34,12,52,11
8/17/2006,116,34,9,55,18
8/18/2006,111,41,11,44,15
8/19/2006,99,34,7,44,14
8/20/2006,120,45,14,45,16
8/21/2006,115,29,12,59,15
8/22/2006,105,34,10,50,11
8/23/2006,88,18,7,48,15
8/24/2006,98,24,8,49,17
8/25/2006,96,26,6,58,6
8/26/2006,87,19,8,48,12
8/27/2006,105,32,6,56,11
8/28/2006,109,33,9,57,10
8/29/2006,77,26,11,31,9
8/30/2006,96,28,4,51,13
8/31/2006,94,19,12,50,13
9/1/2006,95,31,13,41,10
9/2/2006,72,27,10,28,7
9/3/2006,102,34,16,40,12
9/4/2006,117,37,8,56,16
9/5/2006,114,32,5,67,10
9/6/2006,98,26,15,51,6
9/7/2006,116,35,17,52,12
9/8/2006,98,31,9,47,11
9/9/2006,88,24,6,45,13
9/10/2006,75,22,10,34,9
9/11/2006,122,27,14,61,20
9/12/2006,97,27,14,40,16
9/13/2006,103,28,19,44,12
9/14/2006,103,19,14,58,12
9/15/2006,107,20,12,59,16
9/16/2006,117,34,14,51,18
9/17/2006,107,35,14,47,11
9/18/2006,130,32,14,67,17
9/19/2006,108,26,18,53,11
9/20/2006,124,28,16,65,15
9/21/2006,76,21,6,41,8
9/22/2006,104,32,10,51,11
9/23/2006,66,24,6,29,7
9/24/2006,106,34,6,49,17
9/25/2006,106,27,14,51,14
9/26/2006,103,22,16,48,17
9/27/2006,111,27,8,64,12
9/28/2006,93,20,11,47,15
9/29/2006,84,28,6,38,12
9/30/2006,83,25,5,40,13
10/1/2006,74,19,7,40,8
10/2/2006,96,25,10,45,16
10/3/2006,96,23,8,52,13
10/4/2006,99,31,11,41,16
10/5/2006,100,34,10,48,8
10/6/2006,96,22,12,51,11
10/7/2006,101,35,8,49,9
10/8/2006,97,35,11,35,16
10/9/2006,116,39,15,48,14
10/10/2006,105,33,11,50,11
10/11/2006,110,23,17,57,13
10/12/2006,100,27,14,49,10
10/13/2006,93,39,8,37,9
10/14/2006,99,27,11,46,15
10/15/2006,97,38,15,33,11
10/16/2006,115,35,13,55,12
10/17/2006,93,33,11,45,4
10/18/2006,102,41,16,38,7
10/19/2006,113,26,20,54,13
10/20/2006,95,33,8,46,8
10/21/2006,82,25,9,35,13
10/22/2006,116,46,15,47,8
10/23/2006,117,29,14,60,14
10/24/2006,93,28,17,40,8
10/25/2006,103,27,13,52,11
10/26/2006,118,29,12,59,18
10/27/2006,114,39,13,42,20
10/28/2006,102,36,12,36,18
10/29/2006,127,47,11,57,12
10/30/2006,131,41,13,57,20
10/31/2006,116,40,8,58,10
11/1/2006,133,50,12,58,13
11/2/2006,136,44,20,60,12
11/3/2006,116,41,9,54,12
11/4/2006,112,43,16,42,11
11/5/2006,121,50,18,37,16
11/6/2006,156,50,21,68,17
11/7/2006,125,52,10,51,12
11/8/2006,146,48,25,51,22
11/9/2006,172,70,23,61,18
11/10/2006,134,55,14,49,16
11/11/2006,132,72,8,42,10
11/12/2006,145,64,13,59,9
11/13/2006,149,51,20,60,18
11/14/2006,137,42,20,65,10
11/15/2006,137,45,20,55,17
11/16/2006,124,45,7,58,14
11/17/2006,120,45,11,50,14
11/18/2006,125,52,8,56,9
11/19/2006,149,49,16,65,19
11/20/2006,168,59,23,70,16
11/21/2006,135,50,10,59,16
11/22/2006,109,40,13,45,11
11/23/2006,92,43,10,28,11
11/24/2006,152,54,18,66,14
11/25/2006,163,51,13,79,20
11/26/2006,187,68,22,77,20
11/27/2006,170,60,18,74,18
11/28/2006,169,47,28,80,14
11/29/2006,164,55,22,70,17
11/30/2006,141,43,19,67,12
12/1/2006,145,64,14,55,12
12/2/2006,134,55,8,57,14
12/3/2006,114,44,10,45,15
12/4/2006,164,62,18,66,18
12/5/2006,177,57,27,75,18
12/6/2006,188,51,25,91,21
12/7/2006,165,46,26,77,16
12/8/2006,145,48,28,52,17
12/9/2006,155,70,14,59,12
12/10/2006,210,78,41,72,19
12/11/2006,213,69,30,95,19
12/12/2006,196,56,33,89,18
12/13/2006,224,59,32,110,23
12/14/2006,195,63,28,81,23
12/15/2006,154,57,11,66,20
12/16/2006,173,70,18,66,19
12/17/2006,193,75,31,67,20
12/18/2006,204,64,29,92,19
12/19/2006,184,75,20,77,12
12/20/2006,168,55,21,74,17
12/21/2006,191,60,22,88,21
12/22/2006,144,43,19,70,12
12/23/2006,196,70,27,77,22
12/24/2006,189,71,22,83,13
12/25/2006,194,71,19,82,22
12/26/2006,233,78,31,102,22
12/27/2006,259,69,35,140,15
12/28/2006,208,69,18,101,20
12/29/2006,215,81,17,94,23
12/30/2006,202,76,31,80,15
12/31/2006,192,54,23,89,26
1/1/2007,222,84,21,97,20
1/2/2007,249,77,40,111,21
1/3/2007,231,72,24,105,30
1/4/2007,202,67,28,84,23
1/5/2007,220,88,27,83,22
1/6/2007,194,69,22,75,28
1/7/2007,184,67,23,73,21
1/8/2007,201,69,19,89,24
1/9/2007,186,66,30,77,13
1/10/2007,157,52,20,69,16
1/11/2007,160,58,25,63,14
1/12/2007,185,63,20,81,21
1/13/2007,161,59,18,68,16
1/14/2007,196,76,26,72,22
1/15/2007,234,93,33,90,18
1/16/2007,203,65,41,72,25
1/17/2007,156,52,22,66,16
1/18/2007,156,45,25,70,16
1/19/2007,144,45,18,67,14
1/20/2007,127,41,9,67,10
1/21/2007,197,68,28,86,15
1/22/2007,219,65,41,98,15
1/23/2007,185,63,28,69,25
1/24/2007,206,64,31,90,21
1/25/2007,159,64,20,55,20
1/26/2007,152,59,19,60,14
1/27/2007,197,73,19,88,17
1/28/2007,189,82,28,64,15
1/29/2007,192,62,23,89,18
1/30/2007,188,61,30,81,16
1/31/2007,181,60,28,72,21
2/1/2007,163,68,13,66,16
2/2/2007,192,76,26,73,17
2/3/2007,158,62,20,61,15
2/4/2007,202,87,25,74,16
2/5/2007,205,65,28,92,20
2/6/2007,195,67,32,79,17
2/7/2007,193,72,35,68,18
2/8/2007,220,86,37,76,21
2/9/2007,199,80,31,68,20
2/10/2007,211,95,31,65,20
2/11/2007,218,94,30,79,15
2/12/2007,249,98,35,93,23
2/13/2007,221,84,35,88,14
2/14/2007,192,78,19,80,15
2/15/2007,208,98,17,68,25
2/16/2007,225,93,20,88,24
2/17/2007,238,119,27,72,20
2/18/2007,242,117,40,65,20
2/19/2007,245,102,38,83,22
2/20/2007,245,107,29,81,28
2/21/2007,223,96,17,90,20
2/22/2007,220,96,26,73,25
2/23/2007,197,88,16,75,18
2/24/2007,220,96,21,83,20
2/25/2007,253,128,27,76,22
2/26/2007,274,106,37,100,31
2/27/2007,264,107,38,103,16
2/28/2007,228,97,28,84,19
3/1/2007,236,94,23,94,25
3/2/2007,216,104,20,77,15
3/3/2007,226,127,19,69,11
3/4/2007,233,114,27,76,16
3/5/2007,257,98,50,88,21
3/6/2007,204,79,20,90,15
3/7/2007,215,93,28,85,9
3/8/2007,229,95,22,90,22
3/9/2007,219,101,18,79,21
3/10/2007,204,114,17,64,9
3/11/2007,225,97,18,83,27
3/12/2007,259,103,45,80,31
3/13/2007,253,98,35,95,25
3/14/2007,216,71,39,87,19
3/15/2007,205,78,37,80,10
3/16/2007,188,84,21,69,14
3/17/2007,192,87,23,66,16
3/18/2007,222,104,22,74,22
3/19/2007,267,110,48,91,18
3/20/2007,247,100,37,87,23
3/21/2007,215,88,43,71,13
3/22/2007,210,89,25,72,24
3/23/2007,178,90,20,53,15
3/24/2007,206,89,27,79,11
3/25/2007,194,99,32,49,14
3/26/2007,246,97,47,78,24
3/27/2007,203,83,22,77,21
3/28/2007,193,78,22,76,17
3/29/2007,178,73,21,67,17
3/30/2007,172,77,18,62,15
3/31/2007,163,75,23,45,20
4/1/2007,192,104,23,57,8
4/2/2007,209,83,27,73,26
4/3/2007,198,76,26,79,17
4/4/2007,186,65,16,84,21
4/5/2007,173,70,14,68,21
4/6/2007,176,81,17,62,16
4/7/2007,158,71,11,61,15
4/8/2007,173,83,20,58,12
4/9/2007,206,73,20,87,26
4/10/2007,180,92,14,59,15
4/11/2007,246,94,34,97,21
4/12/2007,174,72,15,69,18
4/13/2007,200,102,24,56,18
4/14/2007,186,106,4,56,20
4/15/2007,166,79,13,60,14
4/16/2007,203,84,24,76,19
4/17/2007,213,75,36,87,15
4/18/2007,190,76,29,72,13
4/19/2007,162,68,23,52,19
4/20/2007,159,67,20,54,18
4/21/2007,162,71,13,63,15
4/22/2007,143,57,11,63,12
4/23/2007,203,63,31,88,21
4/24/2007,165,66,28,60,11
4/25/2007,185,62,22,71,30
4/26/2007,155,66,17,56,16
4/27/2007,128,54,20,39,15
4/28/2007,154,67,14,58,15
4/29/2007,161,70,19,55,17
4/30/2007,167,67,28,52,20
5/1/2007,140,56,17,54,12
5/2/2007,149,53,22,54,20
5/3/2007,121,48,18,37,18
5/4/2007,135,61,17,43,14
5/5/2007,109,42,16,38,13
5/6/2007,155,70,17,55,12
5/7/2007,172,53,27,77,15
5/8/2007,153,55,23,56,19
5/9/2007,145,60,10,58,17
5/10/2007,151,52,19,66,13
5/11/2007,129,48,21,46,14
5/12/2007,117,48,13,45,11
5/13/2007,119,49,16,39,15
5/14/2007,170,67,21,66,16
5/15/2007,165,51,27,67,20
5/16/2007,132,46,17,56,13
5/17/2007,122,43,14,49,16
5/18/2007,127,39,15,54,19
5/19/2007,115,48,8,42,17
5/20/2007,121,48,14,46,12
5/21/2007,147,48,29,57,13
5/22/2007,132,49,13,57,13
5/23/2007,124,47,13,47,16
5/24/2007,126,38,15,57,16
5/25/2007,125,48,19,45,12
5/26/2007,141,59,19,48,13
5/27/2007,116,50,16,40,10
5/28/2007,141,53,19,47,20
5/29/2007,150,42,23,69,15
5/30/2007,117,38,23,43,12
5/31/2007,124,39,10,62,12
6/1/2007,101,33,12,46,10
6/2/2007,97,35,6,41,15
6/3/2007,132,52,16,53,9
6/4/2007,125,37,7,70,11
6/5/2007,120,35,16,56,13
6/6/2007,115,34,17,45,19
6/7/2007,105,33,11,48,13
6/8/2007,105,31,11,53,9
6/9/2007,98,44,7,33,13
6/10/2007,98,32,16,40,10
6/11/2007,137,38,15,73,11
6/12/2007,117,26,9,66,14
6/13/2007,105,31,15,50,9
6/14/2007,94,25,11,51,7
6/15/2007,106,38,11,45,11
6/16/2007,86,21,6,48,10
6/17/2007,82,22,11,35,12
6/18/2007,114,27,17,54,15
6/19/2007,88,13,16,48,11
6/20/2007,100,32,11,42,14
6/21/2007,115,37,17,51,10
6/22/2007,109,43,10,45,11
6/23/2007,124,45,10,53,13
6/24/2007,103,33,17,41,12
6/25/2007,116,35,16,50,15
6/26/2007,151,45,10,80,16
6/27/2007,103,27,10,51,15
6/28/2007,96,25,11,43,17
6/29/2007,111,30,18,54,9
6/30/2007,103,26,15,50,12
7/1/2007,96,28,6,50,12
7/2/2007,115,31,11,60,13
7/3/2007,119,33,9,65,11
7/4/2007,88,25,9,39,13
7/5/2007,118,30,11,60,16
7/6/2007,118,31,12,53,21
7/7/2007,114,32,16,50,16
7/8/2007,114,34,20,46,14
7/9/2007,112,33,16,55,8
7/10/2007,115,31,14,56,14
7/11/2007,112,33,13,57,9
7/12/2007,108,36,8,47,16
7/13/2007,114,42,13,43,16
7/14/2007,78,27,9,33,9
7/15/2007,102,39,13,35,14
7/16/2007,135,26,15,71,23
7/17/2007,111,30,15,53,12
7/18/2007,98,22,12,53,11
7/19/2007,140,44,18,59,19
7/20/2007,100,38,7,49,6
7/21/2007,90,24,11,41,14
7/22/2007,108,40,12,44,12
7/23/2007,119,27,13,62,17
7/24/2007,120,33,18,56,12
7/25/2007,115,45,13,46,10
7/26/2007,110,28,8,56,18
7/27/2007,122,39,14,48,21
7/28/2007,104,36,15,39,14
7/29/2007,108,35,19,41,13
7/30/2007,132,37,16,56,23
7/31/2007,116,31,7,59,19
8/1/2007,103,28,9,51,15
8/2/2007,92,32,11,40,9
8/3/2007,106,34,12,49,11
8/4/2007,93,30,9,39,14
8/5/2007,89,32,8,40,8
8/6/2007,140,42,23,59,15
8/7/2007,122,30,14,63,14
8/8/2007,87,33,10,33,11
8/9/2007,117,35,10,52,20
8/10/2007,109,39,10,43,16
8/11/2007,92,29,8,41,14
8/12/2007,102,30,8,50,14
8/13/2007,127,32,15,62,17
8/14/2007,128,41,10,53,23
8/15/2007,113,34,16,44,18
8/16/2007,122,39,4,59,20
8/17/2007,90,30,11,40,9
8/18/2007,97,42,7,40,6
8/19/2007,92,30,14,34,14
8/20/2007,123,36,11,61,15
8/21/2007,94,33,6,46,9
8/22/2007,100,25,8,56,10
8/23/2007,104,31,8,54,11
8/24/2007,104,36,8,47,11
8/25/2007,90,23,9,50,8
8/26/2007,104,36,16,44,8
8/27/2007,114,29,11,61,13
8/28/2007,119,38,10,58,10
8/29/2007,105,27,14,52,12
8/30/2007,135,49,12,61,12
8/31/2007,124,48,10,54,12
9/1/2007,105,42,15,36,10
9/2/2007,102,35,15,43,6
9/3/2007,102,33,11,44,13
9/4/2007,117,37,16,54,10
9/5/2007,116,31,16,54,15
9/6/2007,129,35,14,68,10
9/7/2007,103,32,10,53,8
9/8/2007,110,30,10,55,15
9/9/2007,124,46,8,54,16
9/10/2007,113,27,22,51,13
9/11/2007,101,31,15,45,10
9/12/2007,137,43,16,62,16
9/13/2007,115,35,7,55,18
9/14/2007,101,35,7,48,11
9/15/2007,87,27,9,35,15
9/16/2007,103,35,13,46,9
9/17/2007,118,35,22,46,15
9/18/2007,133,38,27,58,10
9/19/2007,102,36,16,39,10
9/20/2007,107,31,16,50,10
9/21/2007,108,38,13,42,15
9/22/2007,77,27,5,33,12
9/23/2007,98,26,16,42,14
9/24/2007,106,19,20,53,13
9/25/2007,100,25,10,47,17
9/26/2007,113,35,15,51,12
9/27/2007,112,39,21,39,12
9/28/2007,87,32,7,33,15
9/29/2007,103,38,8,47,10
9/30/2007,108,42,10,39,17
10/1/2007,134,35,16,67,16
10/2/2007,135,40,25,57,11
10/3/2007,118,36,16,58,8
10/4/2007,99,31,17,37,13
10/5/2007,99,30,14,43,12
10/6/2007,109,36,13,45,14
10/7/2007,108,31,12,49,15
10/8/2007,126,46,6,56,18
10/9/2007,112,36,15,49,12
10/10/2007,111,38,7,54,11
10/11/2007,95,20,11,47,17
10/12/2007,72,19,8,36,9
10/13/2007,90,34,6,45,5
10/14/2007,95,24,14,47,10
10/15/2007,110,37,14,50,9
10/16/2007,107,32,14,43,18
10/17/2007,97,39,15,38,5
10/18/2007,121,37,22,52,10
10/19/2007,91,23,10,45,13
10/20/2007,91,37,6,38,10
10/21/2007,83,37,13,23,9
10/22/2007,113,33,5,59,16
10/23/2007,95,19,16,50,10
10/24/2007,99,31,9,46,13
10/25/2007,103,36,14,45,8
10/26/2007,89,26,7,39,17
10/27/2007,94,30,12,40,12
10/28/2007,89,24,10,36,19
10/29/2007,105,34,15,45,11
10/30/2007,102,36,16,37,13
10/31/2007,104,30,17,44,13
11/1/2007,113,30,13,53,17
11/2/2007,94,29,19,36,10
11/3/2007,75,23,16,25,10
11/4/2007,109,35,21,39,13
11/5/2007,101,31,12,47,10
11/6/2007,99,21,13,47,18
11/7/2007,127,42,15,58,11
11/8/2007,111,42,15,44,10
11/9/2007,101,36,10,41,14
11/10/2007,93,37,11,33,12
11/11/2007,122,52,12,47,9
11/12/2007,104,30,12,52,9
11/13/2007,109,35,21,42,10
11/14/2007,111,29,13,56,13
11/15/2007,107,33,14,48,12
11/16/2007,97,39,17,35,6
11/17/2007,96,36,6,35,16
11/18/2007,110,44,14,36,13
11/19/2007,94,27,12,42,13
11/20/2007,92,27,8,44,12
11/21/2007,106,31,13,44,17
11/22/2007,63,25,11,17,9
11/23/2007,101,37,9,43,11
11/24/2007,108,41,14,39,14
11/25/2007,121,36,23,46,16
11/26/2007,131,43,24,52,11
11/27/2007,141,42,15,66,18
11/28/2007,126,42,19,51,14
11/29/2007,117,39,17,52,9
11/30/2007,119,50,9,47,13
12/1/2007,106,38,12,42,13
12/2/2007,107,43,11,41,10
12/3/2007,150,35,20,81,14
12/4/2007,139,46,17,61,15
12/5/2007,140,46,17,67,10
12/6/2007,145,51,22,52,20
12/7/2007,119,41,23,41,14
12/8/2007,116,43,7,52,14
12/9/2007,163,69,18,61,13
12/10/2007,178,64,25,71,17
12/11/2007,166,55,26,66,19
12/12/2007,161,62,16,62,21
12/13/2007,129,46,18,45,19
12/14/2007,159,61,26,52,20
12/15/2007,128,70,13,33,12
12/16/2007,130,56,18,45,11
12/17/2007,190,58,27,80,24
12/18/2007,157,67,24,51,15
12/19/2007,188,64,23,83,16
12/20/2007,170,66,28,60,16
12/21/2007,180,66,21,75,18
12/22/2007,164,65,19,62,18
12/23/2007,171,62,26,70,11
12/24/2007,206,70,22,89,23
12/25/2007,176,75,15,64,21
12/26/2007,236,91,27,93,24
12/27/2007,229,75,14,115,22
12/28/2007,223,87,18,92,24
12/29/2007,223,89,23,99,11
12/30/2007,183,68,17,84,13
12/31/2007,191,71,18,86,15
1/1/2008,195,82,26,67,18
1/2/2008,234,73,26,115,19
1/3/2008,221,66,24,104,26
1/4/2008,192,74,27,74,17
1/5/2008,198,95,15,65,21
1/6/2008,209,93,22,78,16
1/7/2008,252,90,36,103,22
1/8/2008,232,68,33,100,29
1/9/2008,282,102,36,122,21
1/10/2008,237,92,13,114,18
1/11/2008,172,61,22,73,15
1/12/2008,226,91,16,84,33
1/13/2008,215,88,30,77,19
1/14/2008,221,86,39,71,23
1/15/2008,189,54,28,78,29
1/16/2008,202,78,33,78,13
1/17/2008,206,69,24,98,15
1/18/2008,214,65,28,87,33
1/19/2008,174,62,20,72,18
1/20/2008,187,85,22,64,16
1/21/2008,187,87,20,66,14
1/22/2008,247,103,24,108,12
1/23/2008,200,69,30,83,17
1/24/2008,220,82,30,84,24
1/25/2008,204,75,29,78,22
1/26/2008,221,91,23,83,24
1/27/2008,260,98,40,101,21
1/28/2008,256,79,45,102,30
1/29/2008,244,103,29,94,18
1/30/2008,265,105,35,97,27
1/31/2008,233,76,43,89,25
2/1/2008,195,71,20,81,23
2/2/2008,223,79,25,89,29
2/3/2008,232,80,35,77,35
2/4/2008,271,85,42,112,32
2/5/2008,260,90,44,94,30
2/6/2008,263,80,35,118,29
2/7/2008,198,68,29,79,22
2/8/2008,229,83,34,93,18
2/9/2008,234,94,26,89,25
2/10/2008,223,92,30,86,15
2/11/2008,238,65,51,99,22
2/12/2008,192,51,31,94,15
2/13/2008,191,64,35,75,16
2/14/2008,197,65,29,81,22
2/15/2008,194,63,30,79,21
2/16/2008,188,60,23,76,28
2/17/2008,215,85,23,80,25
2/18/2008,219,77,26,87,28
2/19/2008,209,75,31,86,15
2/20/2008,187,57,13,91,26
2/21/2008,162,59,20,67,16
2/22/2008,153,44,16,71,22
2/23/2008,180,63,18,72,25
2/24/2008,184,60,28,74,21
2/25/2008,238,76,34,105,23
2/26/2008,177,49,30,76,21
2/27/2008,180,55,25,73,27
2/28/2008,159,47,27,68,16
2/29/2008,146,44,25,55,21
3/1/2008,132,40,15,58,19
3/2/2008,144,43,24,57,19
3/3/2008,206,53,36,94,21
3/4/2008,177,57,22,82,16
3/5/2008,162,49,23,72,18
3/6/2008,164,42,20,81,21
3/7/2008,163,37,25,80,21
3/8/2008,149,62,13,59,14
3/9/2008,159,60,20,63,15
3/10/2008,196,61,24,93,18
3/11/2008,163,52,26,72,12
3/12/2008,146,35,22,70,18
3/13/2008,159,47,21,73,18
3/14/2008,163,56,17,72,18
3/15/2008,139,56,14,48,20
3/16/2008,149,55,23,47,22
3/17/2008,145,41,24,65,15
3/18/2008,205,61,35,85,22
3/19/2008,148,43,17,72,16
3/20/2008,173,60,20,66,27
3/21/2008,136,45,19,57,15
3/22/2008,146,60,16,52,15
3/23/2008,151,54,23,58,14
3/24/2008,200,55,29,88,27
3/25/2008,187,64,25,83,14
3/26/2008,189,67,31,67,23
3/27/2008,156,55,31,55,15
3/28/2008,161,47,26,59,26
3/29/2008,154,49,21,63,21
